Deal ID,Product,Country,Client (Person),Client (Company),Bank Employee Contact,Start Date,End Date,Deal Type
1,Home Appliances,India,Elizabeth Oconnell,"Hunter, Rivera and Hardy",Julie Snyder,13/5/2023,11/8/2023,Public
2,Pharmaceuticals,Canada,Nicholas Taylor,Walls-Winters,Jacob Conner,18/3/2022,16/6/2022,Private
3,Casinos,Australia,James Roberts,Ellis LLC,Susan Gonzales,19/1/2022,19/4/2022,Private
4,Internet Service Providers,Ireland,Mark White,"Glass, Gonzales and Henderson",Vickie Sanders DVM,19/7/2022,17/10/2022,Private
5,Home Appliances,China,Carrie Dalton,Newton-Ruiz,Valerie Jacobson,1/9/2023,30/11/2023,Private
6,Electronics,Uruguay,Jesse Simmons,Carter-Brooks,Anthony Rosales,27/5/2022,25/8/2022,Private
7,Electricity Providers,United States,John Cunningham,Cobb LLC,Shelby Acosta,28/2/2022,29/5/2022,Private
8,Mobile Phone Operators,Canada,Steven West,Adams-Hall,Melissa Wood,10/3/2023,8/6/2023,Private
9,Telecom Equipment Manufacturers,Germany,Mark White,"Glass, Gonzales and Henderson",Joshua Strickland,1/4/2023,30/6/2023,Public
10,Video Game Companies,Canada,Debbie Cunningham DVM,"Mitchell, Walker and Burke",Melinda Hogan,21/12/2022,21/3/2023,Private
11,Shipping Companies,Mexico,Tiffany Hanson DDS,"Murphy, Price and Berry",Dr. Nicholas James,23/3/2022,21/6/2022,Public
12,Chemicals,China,Michael Baker,"Dean, Skinner and Lee",Jorge Bailey,10/11/2022,8/2/2023,Private
13,Schools,United Kingdom,Kara Martinez,"Stone, Martinez and Taylor",Jason Garcia,4/8/2022,2/11/2022,Public
14,REITs,Canada,Stacy Stephenson,"Shaw, Hale and Ross",Theresa Francis,22/2/2023,23/5/2023,Private
15,Electricity Providers,Canada,Jonathan Johnson,Cobb LLC,Laura Robinson,3/10/2022,1/1/2023,Public
16,Chemicals,Japan,Michael Baker,"Dean, Skinner and Lee",Linda James,20/2/2022,21/5/2022,Private
17,Mobile Phone Operators,United Kingdom,Mark White,"Glass, Gonzales and Henderson",Sean Cummings,3/4/2023,2/7/2023,Public
18,Pet Supplies,Hungary,Karen Valdez,Torres-Hobbs,Jeremiah Mason,13/7/2023,11/10/2023,Public
19,Trucking Companies,Costa Rica,William Howard,Roberts Ltd,Daniel Hill,8/2/2022,9/5/2022,Private
20,Mining Equipment,United States,Cristian Garcia,Chang PLC,Edward Mayo,9/6/2023,7/9/2023,Public
21,Electronics,Canada,Teresa Morton,Moore LLC,Andrea Gallagher,16/9/2023,15/12/2023,Private
22,Pharmaceuticals,Germany,Roger Day,"Guerrero, Flores and Carter",Brandon Dillon,27/12/2022,27/3/2023,Public
23,Cable Companies,United Arab Emirates,Melissa Deleon,Campbell-Morse,James Hunter,1/10/2023,30/12/2023,Private
24,Health Products,Hungary,Karen Valdez,Torres-Hobbs,Denise Bailey,3/7/2022,1/10/2022,Private
25,Music Labels,Cameroon,Charles Carey,Hill LLC,Amber Williamson,16/5/2023,14/8/2023,Private
26,Insurance,Uruguay,Robert Paul,Williams Inc,Mark Oneill,25/4/2023,24/7/2023,Private
27,Pharmaceuticals,Canada,Stacey Bowen,Walls-Winters,Donald Martinez,8/10/2022,6/1/2023,Public
28,Oil & Gas,Canada,Carolyn Page,"Clarke, Frank and Hayes",David Ramos,12/5/2023,10/8/2023,Private
29,Wealth Management,Costa Rica,Timothy Butler,"Johnson, Wright and Hayes",Tracy Kelly,31/8/2022,29/11/2022,Private
30,Trucking Companies,China,Luis Andrade,Morgan-Rivera,Douglas Kramer,2/5/2022,31/7/2022,Private
31,Renewable Energy,Canada,James Brown,"Clarke, Frank and Hayes",Darin Richards,22/11/2022,20/2/2023,Private
32,Pharmaceuticals,India,Shannon Walker,"Cowan, Ward and Mckenzie",Jennifer Palmer,4/12/2022,4/3/2023,Private
33,Clothing,United States,Tracy Reese,Morgan Inc,Michael Rivera,10/3/2022,8/6/2022,Public
34,Cable Companies,Canada,Steven West,Adams-Hall,Cheryl Tucker,30/5/2023,28/8/2023,Public
35,Video Game Companies,United Kingdom,Jessica Ryan,Hill LLC,Rebecca Ferguson,2/6/2023,31/8/2023,Public
36,Home Appliances,Malaysia,Todd Davis,Daniel Ltd,Richard Roberts,29/3/2022,27/6/2022,Private
37,Television Networks,United States,Adam Diaz,"Mitchell, Walker and Burke",Jenna Morris,4/10/2022,2/1/2023,Private
38,Investment Management,Jamaica,Kyle Wright,"Johnson, Wright and Hayes",Jennifer Castro,17/6/2023,15/9/2023,Private
39,Chemicals,Australia,Austin Robinson,"Dean, Skinner and Lee",Michael Roy,4/5/2022,2/8/2022,Public
40,Precious Metals,Cameroon,Emily Jackson,Marquez Inc,Amanda Gonzalez,7/3/2022,5/6/2022,Private
41,Pharmaceuticals,China,Jason Waller,"Cowan, Ward and Mckenzie",Sean Gomez,15/1/2022,15/4/2022,Public
42,Renewable Energy,United States,Carolyn Page,"Clarke, Frank and Hayes",Michael Brown,21/9/2022,20/12/2022,Public
43,Home Appliances,Singapore,Carrie Dalton,Newton-Ruiz,Shelby Perez,30/1/2022,30/4/2022,Public
44,Shipping Companies,Australia,Ashley Martinez,Morgan-Rivera,Tracy Simpson,2/4/2023,1/7/2023,Public
45,Investment Management,Canada,Sara Miller,Caldwell Inc,Wayne Barnett,7/1/2022,7/4/2022,Public
46,Banking Services,Bahrain,Jodi Fuller,Arnold Group,Laura Young,10/10/2022,8/1/2023,Private
47,Precious Metals,United States,Cristian Garcia,Chang PLC,Morgan Smith,22/4/2023,21/7/2023,Public
48,Mobile Phone Operators,Canada,Gregory Hood,Adams-Hall,James Hebert,8/3/2022,6/6/2022,Private
49,Pharmaceuticals,Japan,Danny Williams,Watson and Sons,Jesse Mullen,29/5/2022,27/8/2022,Private
50,Electricity Providers,United Kingdom,Laura Travis,Brown-Davis,Christy Taylor,18/4/2022,17/7/2022,Private
51,Insurance,Mexico,Sandra Simpson,Williams Inc,Lisa Beasley,26/5/2022,24/8/2022,Private
52,Sports Equipment,United States,Jordan Camacho,Morgan Inc,Sara Baldwin,21/1/2023,21/4/2023,Public
53,Television Networks,Bahrain,Bruce Bailey,Hill LLC,Dawn Willis,11/2/2022,12/5/2022,Public
54,Electronics,United States,Teresa Morton,Moore LLC,Teresa Perkins,29/8/2023,27/11/2023,Private
55,Electronics,Jamaica,Tammy Rodriguez,Carter-Brooks,Jennifer Davis,28/5/2022,26/8/2022,Private
56,Internet Service Providers,Hungary,Mark White,"Glass, Gonzales and Henderson",Denise Payne,14/8/2023,12/11/2023,Private
57,Mining Equipment,Bahrain,Mark Osborne,Marquez Inc,Dr. Kristin Rowland,14/1/2023,14/4/2023,Private
58,Cable Companies,Canada,Richard Cannon,Joyce-Lopez,Glenn Vargas,14/2/2022,15/5/2022,Private
59,Pharmaceuticals,United States,Marco Smith,Klein PLC,Kyle Murphy,4/3/2023,2/6/2023,Public
60,Universities,Uruguay,Ruben Dudley,Stevens and Sons,Harry Ray,3/3/2022,1/6/2022,Public
61,Water Companies,United States,Austin Martinez,Cobb LLC,James Santiago,18/7/2023,16/10/2023,Private
62,Commercial Property,Canada,Stacy Stephenson,"Shaw, Hale and Ross",Justin Harrington,6/6/2022,4/9/2022,Public
63,Pharmaceuticals,Bahrain,Roger Day,"Guerrero, Flores and Carter",Shelby Pope,3/3/2022,1/6/2022,Public
64,Shipping Companies,Germany,Antonio Bauer,Hahn Inc,Richard Mason,11/6/2023,9/9/2023,Public
65,Home Appliances,Japan,Nicole Clark,Banks-Gray,Dana Stout,23/12/2022,23/3/2023,Public
66,Mobile Phone Operators,Germany,Mark White,"Glass, Gonzales and Henderson",Kevin Joyce,11/12/2022,11/3/2023,Public
67,Oil & Gas,United States,Carolyn Page,"Clarke, Frank and Hayes",Stacy Lopez,9/10/2022,7/1/2023,Private
68,Electronics,Singapore,Denise Carpenter,Daniel Ltd,Michael Kelly,7/4/2023,6/7/2023,Private
69,Internet Service Providers,United Kingdom,Mark White,"Glass, Gonzales and Henderson",Theresa West,14/6/2023,12/9/2023,Public
70,Chemicals,Japan,Jennifer Roberts,"Dean, Skinner and Lee",Vincent Robinson,15/10/2022,13/1/2023,Public
71,Home Appliances,Japan,Christina Austin,Banks-Gray,Rebecca Jones,31/5/2022,29/8/2022,Private
72,Electronics,United States,Teresa Morton,Moore LLC,Debra Murray,22/1/2023,22/4/2023,Public
73,Banking Services,Jamaica,Joshua Hunter,Williams Inc,Patricia Williams,28/12/2022,28/3/2023,Private
74,Food & Beverages,Ireland,Karen Valdez,Torres-Hobbs,Gregory Taylor,6/8/2022,4/11/2022,Private
75,Electronics,Singapore,Mr. Douglas Moore,"Hunter, Rivera and Hardy",Benjamin Moore,16/9/2022,15/12/2022,Public
76,Wealth Management,United Arab Emirates,Jodi Fuller,Arnold Group,Geoffrey Nguyen,6/7/2022,4/10/2022,Private
77,Restaurants,Canada,Jerry Santiago,Johnson LLC,Mariah Phillips,26/4/2022,25/7/2022,Private
78,Shipping Companies,Hungary,George Lee,Hahn Inc,Jennifer Thomas,2/8/2023,31/10/2023,Private
79,Insurance,Uruguay,Joshua Hunter,Williams Inc,Mrs. Donna Higgins,18/11/2022,16/2/2023,Public
80,Pharmaceuticals,Uruguay,Steven Phillips,"Turner, Becker and Lopez",Stephen Koch,26/4/2023,25/7/2023,Private
81,Pharmaceuticals,Malaysia,Danny Williams,Watson and Sons,Christian Ramos,4/9/2022,3/12/2022,Public
82,Online Education Platforms,Bahrain,Kara Martinez,"Stone, Martinez and Taylor",Karen Thornton,21/1/2022,21/4/2022,Private
83,REITs,Hungary,Erin Hunter DDS,Harvey-Brown,Katherine Carter,28/3/2022,26/6/2022,Public
84,Mobile Phone Operators,United States,Richard Cannon,Joyce-Lopez,John Bennett,21/10/2022,19/1/2023,Public
85,Insurance,Uruguay,Sandra Simpson,Williams Inc,Cynthia Jennings,13/4/2023,12/7/2023,Public
86,Commercial Property,United States,Stacy Stephenson,"Shaw, Hale and Ross",Patrick Griffin,25/6/2023,23/9/2023,Private
87,REITs,Canada,Stacy Stephenson,"Shaw, Hale and Ross",Danielle Watson,27/8/2023,25/11/2023,Public
88,Water Companies,Hungary,Jeffrey Simpson,Obrien-Perry,Jason Peterson,22/12/2022,22/3/2023,Private
89,Insurance,Mexico,Timothy Butler,"Johnson, Wright and Hayes",Paul Paul,9/9/2023,8/12/2023,Private
90,Oil & Gas,United States,Carolyn Page,"Clarke, Frank and Hayes",Todd Murphy,26/1/2022,26/4/2022,Public
91,Pharmaceuticals,Bahrain,Roger Day,"Guerrero, Flores and Carter",Stacy Perez,8/4/2022,7/7/2022,Public
92,Music Labels,Malaysia,Mr. Jim Bender,Avery-Green,Robert Compton,9/7/2022,7/10/2022,Public
93,Pharmaceuticals,United States,Roberta Jensen,Walls-Winters,Richard Lester,6/6/2022,4/9/2022,Private
94,Pharmaceuticals,Cameroon,Roger Day,"Guerrero, Flores and Carter",Leslie Rodriguez DDS,25/6/2022,23/9/2022,Private
95,Casinos,Canada,Michael Schaefer,Johnson LLC,Kimberly Moore,24/3/2023,22/6/2023,Public
96,Health Products,Japan,Lindsay Pierce,Oliver-Cole,Julie Johnson,3/10/2022,1/1/2023,Private
